IE00BY7QL619, Industrials
US7140461093, Health Care
US7167681060, Consumer Discretionary
US7170811035, Health Care
US7172651025, nan
US7181721090, Consumer Staples
US7185461040, Energy
US7234841010, Utilities
US7237871071, Energy
US7244791007, Industrials
US7292511083, Real Estate
US74005P1049, Materials
US7401891053, Industrials
US74144T1088, Financials
US7415034039, Consumer Discretionary
US74251V1026, Financials
US7427181091, Consumer Staples
US7432631056, nan
US7433151039, Financials
US74340W1036, Real Estate
US7443201022, Financials
US7445731067, Utilities
US74460D1090, Real Estate
US7458671010, Consumer Discretionary
US7472771010, Information Technology
US74733V1008, Energy
US74736K1016, Information Technology
US7475251036, Information Technology
US74762E1029, Industrials
US74834L1008, Health Care
US7483561020, Utilities
US7491211097, nan
US74979E1010, Consumer Discretionary
US7512121010, Consumer Discretionary
US75281A1097, Energy
US7551115071, Industrials
US75605Y1064, Real Estate
US7561091049, Real Estate
US7565771026, Information Technology
US7581101000, nan
US75886F1075, Health Care
US7591EP1005, Financials
US7607591002, Industrials
US7617131062, Consumer Staples
US7703231032, Industrials
US7739031091, Industrials
US7743411016, Industrials
US7753711073, nan
US7766961061, Industrials
US7782961038, Consumer Discretionary
US7835491082, Industrials
US78409V1044, Financials
US78440X1019, Real Estate
US78442P1066, Financials
US7859051002, nan
US7864291007, nan
US7865142084, Consumer Staples
US7908491035, Health Care
US79466L3024, Information Technology
US80004C1018, Information Technology
US8010561020, Information Technology
US80589M1027, Utilities
US8064071025, Health Care
US8066051017, nan
US8085131055, Financials
US8086551046, nan
US8110544025, Consumer Discretionary
US8110651010, Consumer Discretionary
US81211K1007, Materials
US8123501061, Consumer Discretionary
US8168511090, Utilities
US8243481061, Materials
US8261701028, nan
US8265521018, Materials
US8288061091, Real Estate
US83088M1027, Information Technology
US8321101003, nan
US8326964058, Consumer Staples
US8330341012, Industrials
US8341821077, nan
US8425871071, Utilities
US8447411088, Industrials
US8454671095, Energy
US8459051087, Financials
US8475601097, Energy
US8520611000, nan
US8545021011, Industrials
US8550301027, Consumer Discretionary
US8552441094, Consumer Discretionary
US85590A4013, Consumer Discretionary
US8574771031, Financials
US8589121081, Industrials
US8636671013, Health Care
US8668102036, nan
US86732Y1091, Information Technology
US86764P1093, nan
US8679141031, Financials
US8685361037, nan
US8715031089, Information Technology
US8715081076, nan
US87161C5013, Financials
US87165B1035, Financials
US8718291078, Consumer Staples
US8723751009, Utilities
US8725401090, Consumer Discretionary
US8725901040, Telecommunication Services
US8731681081, nan
US87612E1064, Consumer Discretionary
US87901J1051, Consumer Discretionary
US8791311009, nan
US8796641004, nan
US8798681073, nan
US88033G4073, Health Care
US88076W1036, Information Technology
US8807701029, Information Technology
US8807791038, Industrials
US8816091016, Energy
US8825081040, Information Technology
US8832031012, Industrials
US8835561023, Health Care
US88579Y1010, Industrials
US8865471085, Consumer Discretionary
US8873173038, Consumer Discretionary
US88732J2078, Consumer Discretionary
US8883392073, nan
US8910271043, Financials
US8919061098, Information Technology
US8923561067, Consumer Discretionary
US8928931083, nan
US8936411003, Industrials
US89417E1091, Financials
US8960471071, nan
US8969452015, Consumer Discretionary
US90130A1016, Consumer Discretionary
US90130A2006, Consumer Discretionary
US9024941034, Consumer Staples
US9026531049, Real Estate
US9029111062, nan
US9029733048, Financials
US90384S3031, Consumer Discretionary
US9043111072, Consumer Discretionary
US9043112062, Consumer Discretionary
US9078181081, Industrials
US9092143067, Information Technology
US9100471096, Industrials
US9113121068, Industrials
US9113631090, Industrials
US9129091081, Materials
US9130171096, Industrials
US91324P1021, Health Care
US9139031002, Health Care
US9149061023, nan
US91529Y1064, Financials
US9170471026, Consumer Discretionary
US9182041080, Consumer Discretionary
US91913Y1001, Energy
US92220P1057, Health Care
US92276F1003, Real Estate
US92343E1029, Information Technology
US92343V1044, Telecommunication Services
US92345Y1064, Industrials
US92532F1003, Health Care
US92553P2011, Consumer Discretionary
US9255501051, Information Technology
US92826C8394, Information Technology
US92839U2069, Consumer Discretionary
US9290421091, Real Estate
US9291601097, Materials
US92936P1003, Financials
US92939U1060, Utilities
US9299031024, nan
US9311421039, Consumer Staples
US9314271084, Consumer Staples
US94106L1098, Industrials
US9418481035, Health Care
US9497461015, Financials
US95040Q1040, Real Estate
US9505901093, nan
US9581021055, Information Technology
US9598021098, Information Technology
US96145D1054, Materials
US9621661043, Real Estate
US9633201069, Consumer Discretionary
US9668371068, Consumer Staples
US9694571004, Energy
US97382A2006, Telecommunication Services
US98212B1035, Energy
US9825261053, nan
US9830241009, nan
US98310W1080, Consumer Discretionary
US9831341071, Consumer Discretionary
US98385X1063, nan
US98389B1008, Utilities
US9839191015, Information Technology
US9841211033, Information Technology
US98419M1009, Industrials
US9843321061, Information Technology
US9884981013, Consumer Discretionary
US98956P1021, Health Care
US9897011071, Financials
US98978V1035, Health Care
USG7665A1019, nan
VGG607541015, Consumer Discretionary
