,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2006-02-09 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,116.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,117.0
2006-02-01 00:00:00,-0.0,N,-2147483648,,Scotia Howard Weil Inc,Not Provided,5,buy,147.23,118.0
2006-01-26 00:00:00,-0.0,M,-2147483648,,Raymond James,12 month,5,outperform,122.93,119.0
2006-01-04 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,3,sector perform,138.65,120.0
2005-11-28 00:00:00,-0.0,M,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,5,buy,107.2,121.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,122.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,123.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,124.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,125.0
2006-06-01 00:00:00,-0.0,M,-2147483648,,Bernstein,Not Provided,3,market perform,84.33,126.0
2006-05-30 00:00:00,-0.0,M,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,162.95,127.0
2006-05-24 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,151.52,128.0
2006-05-17 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,12 month,5,buy,145.8,129.0
2006-05-12 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,147.23,130.0
2006-05-08 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,131.0
