,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
352,-0.000000,M,-2147483648,2012-05-02,Stifel,Not Provided,3,hold,-0.000000
353,-0.000000,M,-2147483648,2012-05-01,J.P. Morgan,6 month,3,neutral,28.000000
354,-0.000000,M,-2147483648,2012-05-01,Oppenheimer & Co,12 month,5,outperform,30.000000
355,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
356,-0.000000,M,-2147483648,2012-08-01,"Keefe, Bruyette & Woods",12 month,1,underperform,23.000000
357,-0.000000,M,-2147483648,2012-08-01,Stifel,Not Provided,3,hold,-0.000000
358,-0.000000,M,-2147483648,2012-07-31,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
359,-0.000000,N,-2147483648,2012-07-25,S&P Capital IQ,12 month,5,buy,32.000000
360,-0.000000,M,-2147483648,2012-07-18,BMO Capital Markets,Not Provided,3,market perform,27.000000
361,-0.000000,M,-2147483648,2012-07-13,Jefferies,12 month,3,hold,26.000000
362,-0.000000,M,-2147483648,2012-07-03,J.P. Morgan,3 month,3,neutral,28.000000
363,-0.000000,M,-2147483648,2012-07-03,Raymond James,Not Provided,3,market perform,-0.000000
364,-0.000000,M,-2147483648,2012-07-03,Macquarie,12 month,3,neutral,32.000000
365,-0.000000,M,-2147483648,2012-07-03,"Sandler O'Neill & Partners, LP",12 month,3,hold,28.000000
366,-0.000000,M,-2147483648,2012-07-02,Credit Suisse,Not Provided,3,neutral,27.000000
367,-0.000000,M,-2147483648,2012-07-02,Evercore ISI,12 month,3,equalweight,25.000000
368,-0.000000,M,-2147483648,2012-07-02,Barclays,Not Provided,3,equalweight,25.000000
369,-0.000000,D,-2147483648,2012-05-19,EVA Dimensions,Not Provided,3,hold,-0.000000
370,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
371,-0.000000,M,-2147483648,2012-08-31,BMO Capital Markets,Not Provided,3,market perform,26.000000
372,-0.000000,M,-2147483648,2012-08-31,Jefferies,12 month,3,hold,26.000000
373,-0.000000,M,-2147483648,2012-08-31,Macquarie,12 month,3,neutral,32.000000
374,-0.000000,M,-2147483648,2012-08-31,Stifel,Not Provided,3,hold,-0.000000
375,-0.000000,M,-2147483648,2012-08-20,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
376,-0.000000,M,-2147483648,2012-08-15,Evercore ISI,12 month,3,equalweight,25.000000
377,-0.000000,U,-2147483648,2012-08-09,EVA Dimensions,Not Provided,5,overweight,-0.000000
378,-0.000000,M,-2147483648,2012-08-03,J.P. Morgan,3 month,3,neutral,28.000000
379,-0.000000,M,-2147483648,2012-08-03,"Sandler O'Neill & Partners, LP",Not Provided,3,hold,28.000000
380,-0.000000,M,-2147483648,2012-08-03,Barclays,Not Provided,3,equalweight,24.000000
381,-0.000000,M,-2147483648,2012-08-02,Credit Suisse,Not Provided,3,neutral,27.000000
382,-0.000000,M,-2147483648,2012-08-02,"Keefe, Bruyette & Woods",12 month,1,underperform,24.000000
383,-0.000000,M,-2147483648,2012-08-02,Raymond James,Not Provided,3,market perform,-0.000000
384,-0.000000,N,-2147483648,2012-07-25,S&P Capital IQ,12 month,5,buy,32.000000
385,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
386,-0.000000,D,-2147483648,2012-10-01,Credit Suisse,Not Provided,1,underperform,27.000000
387,-0.000000,M,-2147483648,2012-10-01,Macquarie,12 month,3,neutral,32.000000
388,-0.000000,M,-2147483648,2012-10-01,Evercore ISI,12 month,3,equalweight,25.000000
389,-0.000000,M,-2147483648,2012-10-01,Barclays,Not Provided,3,equalweight,24.000000
390,-0.000000,M,-2147483648,2012-09-28,Jefferies,12 month,3,hold,26.000000
391,-0.000000,U,-2147483648,2012-09-27,Raymond James,12 month,5,outperform,34.000000
392,-0.000000,M,-2147483648,2012-09-25,BMO Capital Markets,Not Provided,3,market perform,26.000000
393,-0.000000,M,-2147483648,2012-09-24,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
394,-0.000000,M,-2147483648,2012-09-24,S&P Capital IQ,Not Provided,5,strong buy,38.000000
395,-0.000000,M,-2147483648,2012-09-19,"Keefe, Bruyette & Woods",12 month,1,underperform,24.000000
396,-0.000000,M,-2147483648,2012-09-14,BGB Securities Inc.,12 month,3,hold,27.000000
397,-0.000000,M,-2147483648,2012-09-06,J.P. Morgan,15 month,3,neutral,30.500000
398,-0.000000,M,-2147483648,2012-09-05,"Sandler O'Neill & Partners, LP",Not Provided,3,hold,29.000000
399,-0.000000,M,-2147483648,2012-08-31,Stifel,Not Provided,3,hold,-0.000000
400,-0.000000,U,-2147483648,2012-08-09,EVA Dimensions,Not Provided,5,overweight,-0.000000
401,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
402,-0.000000,M,-2147483648,2012-11-01,BMO Capital Markets,Not Provided,3,market perform,26.000000
403,-0.000000,M,-2147483648,2012-11-01,Credit Suisse,Not Provided,1,underperform,27.000000
404,-0.000000,M,-2147483648,2012-11-01,Jefferies,12 month,3,hold,28.000000
405,-0.000000,U,-2147483648,2012-11-01,"Keefe, Bruyette & Woods",12 month,3,market perform,30.000000
406,-0.000000,M,-2147483648,2012-11-01,Raymond James,12 month,5,outperform,32.000000
407,-0.000000,M,-2147483648,2012-11-01,"Sandler O'Neill & Partners, LP",12 month,3,hold,30.000000
408,-0.000000,M,-2147483648,2012-11-01,Evercore ISI,12 month,3,equalweight,25.000000
409,-0.000000,M,-2147483648,2012-11-01,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
410,-0.000000,M,-2147483648,2012-11-01,BGB Securities Inc.,12 month,3,hold,27.000000
411,-0.000000,M,-2147483648,2012-11-01,Barclays,Not Provided,3,equalweight,25.000000
412,-0.000000,M,-2147483648,2012-10-22,Goldman Sachs,12 month,3,neutral/neutral,30.000000
413,-0.000000,M,-2147483648,2012-10-11,Macquarie,12 month,3,neutral,32.000000
414,-0.000000,M,-2147483648,2012-10-03,J.P. Morgan,12 month,3,neutral,30.500000
415,-0.000000,M,-2147483648,2012-10-02,Stifel,Not Provided,3,hold,-0.000000
416,-0.000000,M,-2147483648,2012-09-24,S&P Capital IQ,Not Provided,5,strong buy,38.000000
417,-0.000000,U,-2147483648,2012-08-09,EVA Dimensions,Not Provided,5,overweight,-0.000000
418,-0.000000,M,-2147483648,2012-03-20,UBS,12 month,3,neutral,28.000000
419,-0.000000,M,-2147483648,2012-12-01,Macquarie,12 month,3,neutral,34.000000
420,-0.000000,M,-2147483648,2012-11-30,Jefferies,12 month,3,hold,28.000000
421,-0.000000,M,-2147483648,2012-11-25,"Keefe, Bruyette & Woods",12 month,3,market perform,30.000000
422,-0.000000,M,-2147483648,2012-11-20,BMO Capital Markets,Not Provided,3,market perform,26.000000
423,-0.000000,M,-2147483648,2012-11-19,Credit Suisse,Not Provided,1,underperform,27.000000
424,-0.000000,M,-2147483648,2012-11-19,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
425,-0.000000,M,-2147483648,2012-11-14,"Sandler O'Neill & Partners, LP",12 month,3,hold,30.000000
426,-0.000000,M,-2147483648,2012-11-13,Barclays,Not Provided,3,equalweight,25.000000
427,-0.000000,M,-2147483648,2012-11-07,EVA Dimensions,Not Provided,1,underweight,-0.000000
428,-0.000000,M,-2147483648,2012-11-05,J.P. Morgan,12 month,3,neutral,33.000000
429,-0.000000,M,-2147483648,2012-11-02,UBS,12 month,3,neutral,30.000000
430,-0.000000,M,-2147483648,2012-11-02,Raymond James,12 month,5,outperform,32.000000
431,-0.000000,M,-2147483648,2012-11-02,Stifel,Not Provided,3,hold,-0.000000
432,-0.000000,M,-2147483648,2012-11-01,Evercore ISI,12 month,3,equalweight,25.000000
433,-0.000000,M,-2147483648,2012-11-01,BGB Securities Inc.,12 month,3,hold,27.000000
434,-0.000000,M,-2147483648,2012-10-22,Goldman Sachs,12 month,3,neutral/neutral,30.000000
435,-0.000000,M,-2147483648,2012-09-24,S&P Capital IQ,Not Provided,5,strong buy,38.000000
436,-0.000000,M,-2147483648,2012-12-17,Wells Fargo Securities,Not Provided,3,market perform,-0.000000
437,-0.000000,M,-2147483648,2012-12-13,"Keefe, Bruyette & Woods",12 month,3,market perform,30.000000
438,-0.000000,M,-2147483648,2012-12-11,BMO Capital Markets,Not Provided,3,market perform,26.000000
439,-0.000000,M,-2147483648,2012-12-11,Credit Suisse,Not Provided,1,underperform,28.000000
440,-0.000000,M,-2147483648,2012-12-11,"Sandler O'Neill & Partners, LP",12 month,3,hold,30.000000
441,-0.000000,M,-2147483648,2012-12-07,J.P. Morgan,12 month,3,neutral,32.500000
442,-0.000000,M,-2147483648,2012-12-07,Jefferies,12 month,3,hold,28.000000
443,-0.000000,M,-2147483648,2012-12-05,Evercore ISI,12 month,3,equalweight,29.000000
444,-0.000000,M,-2147483648,2012-12-03,Raymond James,12 month,5,outperform,32.000000
445,-0.000000,M,-2147483648,2012-12-03,Stifel,Not Provided,3,hold,-0.000000
446,-0.000000,M,-2147483648,2012-12-03,Barclays,Not Provided,3,equalweight,25.000000
447,-0.000000,M,-2147483648,2012-12-01,Macquarie,12 month,3,neutral,34.000000
448,-0.000000,M,-2147483648,2012-11-07,EVA Dimensions,Not Provided,1,underweight,-0.000000
449,-0.000000,M,-2147483648,2012-11-02,UBS,12 month,3,neutral,30.000000
450,-0.000000,M,-2147483648,2012-11-01,BGB Securities Inc.,12 month,3,hold,27.000000
451,-0.000000,M,-2147483648,2012-10-22,Goldman Sachs,12 month,3,neutral/neutral,30.000000
452,-0.000000,M,-2147483648,2012-09-24,S&P Capital IQ,Not Provided,5,strong buy,38.000000
