,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
109,109,-0.0,M,-2147483648,2007-04-24,Raymond James,Not Provided,5,strong buy,130.0,109.0
110,110,-0.0,M,-2147483648,2005-08-25,J.P. Morgan,Not Provided,3,neutral,-0.0,110.0
111,111,-0.0,M,-2147483648,2007-07-23,Raymond James,Not Provided,5,strong buy,150.0,111.0
112,112,-0.0,R,-2147483648,2007-07-20,Morgan Keegan,Not Provided,5,outperform,-0.0,112.0
113,113,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,113.0
114,114,-0.0,M,-2147483648,2007-06-18,Longbow Research,Not Provided,5,buy,144.0,114.0
115,115,-0.0,N,-2147483648,2007-06-13,Soleil Securities,Not Provided,3,hold,-0.0,115.0
116,116,-0.0,M,-2147483648,2007-05-09,EVA Dimensions,Not Provided,5,strong buy,-0.0,116.0
117,117,-0.0,M,-2147483648,2007-08-03,EVA Dimensions,Not Provided,5,strong buy,-0.0,117.0
118,118,-0.0,M,-2147483648,2007-07-23,Raymond James,Not Provided,5,strong buy,150.0,118.0
119,119,-0.0,R,-2147483648,2007-07-20,Morgan Keegan,Not Provided,5,outperform,-0.0,119.0
120,120,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,120.0
121,121,-0.0,M,-2147483648,2007-06-18,Longbow Research,Not Provided,5,buy,144.0,121.0
122,122,-0.0,M,-2147483648,2007-08-03,EVA Dimensions,Not Provided,5,strong buy,-0.0,122.0
123,123,-0.0,M,-2147483648,2007-07-23,Raymond James,Not Provided,5,strong buy,150.0,123.0
124,124,-0.0,R,-2147483648,2007-07-20,Morgan Keegan,Not Provided,5,outperform,-0.0,124.0
125,125,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,125.0
126,126,-0.0,M,-2147483648,2007-06-18,Longbow Research,Not Provided,5,buy,144.0,126.0
127,127,-0.0,M,-2147483648,2007-10-24,Raymond James,Not Provided,5,strong buy,150.0,127.0
128,128,-0.0,R,-2147483648,2007-10-23,Morgan Keegan,Not Provided,5,outperform,-0.0,128.0
129,129,-0.0,M,-2147483648,2007-10-03,EVA Dimensions,Not Provided,5,strong buy,-0.0,129.0
130,130,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,130.0
131,131,-0.0,M,-2147483648,2007-06-18,Longbow Research,Not Provided,5,buy,144.0,131.0
132,132,-0.0,R,-2147483648,2007-11-20,Morgan Keegan,Not Provided,5,outperform,-0.0,132.0
133,133,-0.0,M,-2147483648,2007-10-24,Raymond James,Not Provided,5,strong buy,150.0,133.0
134,134,-0.0,M,-2147483648,2007-10-03,EVA Dimensions,Not Provided,5,strong buy,-0.0,134.0
135,135,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,135.0
136,136,-0.0,M,-2147483648,2007-06-18,Longbow Research,Not Provided,5,buy,144.0,136.0
137,137,-0.0,R,-2147483648,2007-12-20,Morgan Keegan,Not Provided,5,outperform,-0.0,137.0
138,138,-0.0,M,-2147483648,2007-12-19,EVA Dimensions,Not Provided,5,strong buy,-0.0,138.0
139,139,-0.0,M,-2147483648,2007-10-24,Raymond James,Not Provided,5,strong buy,150.0,139.0
140,140,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,140.0
141,141,-0.0,M,-2147483648,2007-06-18,Longbow Research,Not Provided,5,buy,144.0,141.0
142,142,-0.0,M,-2147483648,2008-01-16,Raymond James,Not Provided,5,strong buy,125.0,142.0
143,143,-0.0,R,-2147483648,2007-12-20,Morgan Keegan,Not Provided,5,outperform,-0.0,143.0
144,144,-0.0,M,-2147483648,2007-12-19,EVA Dimensions,Not Provided,5,strong buy,-0.0,144.0
145,145,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,145.0
146,146,-0.0,M,-2147483648,2007-06-18,Longbow Research,Not Provided,5,buy,144.0,146.0
147,147,-0.0,M,-2147483648,2008-02-11,Raymond James,Not Provided,5,strong buy,125.0,147.0
148,148,-0.0,M,-2147483648,2008-02-06,Longbow Research,Not Provided,5,buy,116.0,148.0
149,149,-0.0,R,-2147483648,2008-02-05,Morgan Keegan,Not Provided,5,outperform,-0.0,149.0
150,150,-0.0,M,-2147483648,2007-12-19,EVA Dimensions,Not Provided,5,strong buy,-0.0,150.0
151,151,-0.0,M,-2147483648,2007-07-13,J.P. Morgan,Not Provided,3,neutral,-0.0,151.0
152,152,-0.0,M,-2147483648,2008-03-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,152.0
153,153,-0.0,R,-2147483648,2008-03-05,Morgan Keegan,Not Provided,5,outperform,-0.0,153.0
154,154,-0.0,D,-2147483648,2008-03-05,J.P. Morgan,Not Provided,1,underweight,-0.0,154.0
155,155,-0.0,M,-2147483648,2008-02-11,Raymond James,Not Provided,5,strong buy,125.0,155.0
156,156,-0.0,M,-2147483648,2008-02-06,Longbow Research,Not Provided,5,buy,116.0,156.0
157,157,-0.0,R,-2147483648,2008-04-24,Morgan Keegan,Not Provided,5,outperform,-0.0,157.0
158,158,-0.0,M,-2147483648,2008-04-24,Raymond James,Not Provided,5,strong buy,125.0,158.0
159,159,-0.0,M,-2147483648,2008-03-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,159.0
160,160,-0.0,D,-2147483648,2008-03-05,J.P. Morgan,Not Provided,1,underweight,-0.0,160.0
161,161,-0.0,M,-2147483648,2008-02-06,Longbow Research,Not Provided,5,buy,116.0,161.0
162,162,-0.0,M,-2147483648,2008-05-16,J.P. Morgan,Not Provided,1,underweight,-0.0,162.0
163,163,-0.0,R,-2147483648,2008-04-24,Morgan Keegan,Not Provided,5,outperform,-0.0,163.0
164,164,-0.0,M,-2147483648,2008-04-24,Raymond James,Not Provided,5,strong buy,125.0,164.0
165,165,-0.0,M,-2147483648,2008-03-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,165.0
166,166,-0.0,M,-2147483648,2008-02-06,Longbow Research,Not Provided,5,buy,116.0,166.0
167,167,-0.0,M,-2147483648,2008-05-16,J.P. Morgan,Not Provided,1,underweight,-0.0,167.0
168,168,-0.0,R,-2147483648,2008-04-24,Morgan Keegan,Not Provided,5,outperform,-0.0,168.0
169,169,-0.0,M,-2147483648,2008-04-24,Raymond James,Not Provided,5,strong buy,125.0,169.0
170,170,-0.0,M,-2147483648,2008-03-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,170.0
171,171,-0.0,M,-2147483648,2008-02-06,Longbow Research,Not Provided,5,buy,116.0,171.0
172,172,-0.0,M,-2147483648,2008-07-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,172.0
173,173,-0.0,M,-2147483648,2008-07-24,J.P. Morgan,Not Provided,1,underweight,-0.0,173.0
174,174,-0.0,R,-2147483648,2008-07-23,Morgan Keegan,Not Provided,5,outperform,-0.0,174.0
175,175,-0.0,M,-2147483648,2008-07-23,Raymond James,Not Provided,5,strong buy,100.0,175.0
176,176,-0.0,M,-2147483648,2008-02-06,Longbow Research,Not Provided,5,buy,116.0,176.0
177,177,-0.0,M,-2147483648,2008-07-28,EVA Dimensions,Not Provided,5,strong buy,-0.0,177.0
