,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
893,-0.000000,U,-2147483648,2012-05-28,EVA Dimensions,Not Provided,5,overweight,-0.000000
894,-0.000000,M,-2147483648,2012-05-18,Portales Partners,Not Provided,5,outperform,-0.000000
895,-0.000000,M,-2147483648,2012-05-10,Stifel,Not Provided,3,hold,-0.000000
896,-0.000000,M,-2147483648,2012-05-01,Davenport & Co,Not Provided,3,neutral,-0.000000
897,-0.000000,M,-2147483648,2012-04-27,UBS,12 month,3,neutral,95.360000
898,-0.000000,M,-2147483648,2012-08-27,Stephens Inc,Not Provided,3,equalweight,98.010000
899,-0.000000,M,-2147483648,2012-08-23,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
900,-0.000000,M,-2147483648,2012-08-20,"Keefe, Bruyette & Woods",12 month,5,outperform,103.310000
901,-0.000000,M,-2147483648,2012-08-16,Stifel,Not Provided,3,hold,-0.000000
902,-0.000000,M,-2147483648,2012-08-13,William Blair & Co,Not Provided,3,market perform,-0.000000
903,-0.000000,M,-2147483648,2012-08-10,Barclays,Not Provided,5,overweight,116.560000
904,-0.000000,M,-2147483648,2012-08-06,Macquarie,12 month,5,outperform,105.960000
905,-0.000000,D,-2147483648,2012-08-06,"Miller Tabak + Co., LLC",12 month,3,hold,95.890000
906,-0.000000,M,-2147483648,2012-08-03,J.P. Morgan,3 month,3,neutral,100.660000
907,-0.000000,M,-2147483648,2012-08-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
908,-0.000000,M,-2147483648,2012-08-02,"Sandler O'Neill & Partners, LP",12 month,3,hold,98.010000
909,-0.000000,N,-2147483648,2012-08-02,S&P Capital IQ,Not Provided,5,buy,111.260000
910,-0.000000,M,-2147483648,2012-08-02,Portales Partners,Not Provided,5,outperform,-0.000000
911,-0.000000,M,-2147483648,2012-08-02,EVA Dimensions,Not Provided,5,buy,-0.000000
912,-0.000000,M,-2147483648,2012-08-01,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
913,-0.000000,M,-2147483648,2012-08-01,Sterne Agee CRT,12 month,1,underperform,100.660000
914,-0.000000,M,-2147483648,2012-04-27,UBS,12 month,3,neutral,95.360000
915,-0.000000,M,-2147483648,2012-10-01,Stephens Inc,Not Provided,3,equalweight,98.010000
916,-0.000000,M,-2147483648,2012-10-01,Barclays,Not Provided,5,overweight,116.560000
917,-0.000000,M,-2147483648,2012-09-24,William Blair & Co,Not Provided,3,market perform,-0.000000
