,index,Unnamed: 0,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
330,330,330,-0.0,M,-2147483648,2010-01-27,J.P. Morgan,9 month,5,overweight,32.0
331,331,331,-0.0,M,-2147483648,2010-01-25,Longbow Research,Not Provided,5,buy,35.0
332,332,332,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
333,333,333,-0.0,M,-2147483648,2010-02-24,Baird,12 month,5,outperform,30.0
334,334,334,-0.0,M,-2147483648,2010-02-24,KeyBanc Capital Markets,12 month,5,buy,30.0
335,335,335,-0.0,M,-2147483648,2010-02-24,Barclays,Not Provided,3,equalwt/neutral,27.0
336,336,336,-0.0,M,-2147483648,2010-01-28,Macquarie,12 month,3,neutral,28.0
337,337,337,-0.0,M,-2147483648,2010-01-27,Goldman Sachs,12 month,5,Buy/Neutral,33.0
338,338,338,-0.0,M,-2147483648,2010-01-27,J.P. Morgan,9 month,5,overweight,32.0
339,339,339,-0.0,M,-2147483648,2010-01-25,Longbow Research,Not Provided,5,buy,35.0
340,340,340,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
341,341,341,-0.0,N,-2147483648,2010-03-31,Credit Suisse,Not Provided,5,outperform,34.0
342,342,342,-0.0,M,-2147483648,2010-03-31,Baird,12 month,5,outperform,30.0
343,343,343,-0.0,M,-2147483648,2010-03-29,KeyBanc Capital Markets,12 month,5,buy,30.0
344,344,344,-0.0,M,-2147483648,2010-02-24,Barclays,Not Provided,3,equalwt/neutral,27.0
345,345,345,-0.0,M,-2147483648,2010-01-28,Macquarie,12 month,3,neutral,28.0
346,346,346,-0.0,M,-2147483648,2010-01-27,Goldman Sachs,12 month,5,Buy/Neutral,33.0
347,347,347,-0.0,M,-2147483648,2010-01-27,J.P. Morgan,9 month,5,overweight,32.0
348,348,348,-0.0,M,-2147483648,2010-01-25,Longbow Research,Not Provided,5,buy,35.0
349,349,349,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
350,350,350,-0.0,M,-2147483648,2010-04-23,Baird,12 month,5,outperform,30.0
351,351,351,-0.0,M,-2147483648,2010-04-23,Macquarie,12 month,3,neutral,28.0
352,352,352,-0.0,M,-2147483648,2010-04-22,Goldman Sachs,12 month,5,Buy/Neutral,31.0
353,353,353,-0.0,M,-2147483648,2010-04-22,Credit Suisse,Not Provided,5,outperform,34.0
354,354,354,-0.0,M,-2147483648,2010-04-22,J.P. Morgan,9 month,5,overweight,32.0
355,355,355,-0.0,M,-2147483648,2010-04-22,KeyBanc Capital Markets,12 month,5,buy,30.0
356,356,356,-0.0,M,-2147483648,2010-04-22,Longbow Research,Not Provided,5,buy,34.0
357,357,357,-0.0,M,-2147483648,2010-04-22,Barclays,Not Provided,3,equalwt/neutral,27.0
358,358,358,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
359,359,359,-0.0,M,-2147483648,2010-06-01,KeyBanc Capital Markets,12 month,5,buy,35.0
360,360,360,-0.0,M,-2147483648,2010-05-25,Baird,12 month,5,outperform,34.0
361,361,361,-0.0,M,-2147483648,2010-05-24,J.P. Morgan,6 month,5,overweight,34.0
362,362,362,-0.0,M,-2147483648,2010-05-19,Barclays,Not Provided,3,equalwt/neutral,27.0
363,363,363,-0.0,M,-2147483648,2010-04-23,Macquarie,12 month,3,neutral,28.0
364,364,364,-0.0,M,-2147483648,2010-04-22,Goldman Sachs,12 month,5,Buy/Neutral,31.0
365,365,365,-0.0,M,-2147483648,2010-04-22,Credit Suisse,Not Provided,5,outperform,34.0
366,366,366,-0.0,M,-2147483648,2010-04-22,Longbow Research,Not Provided,5,buy,34.0
367,367,367,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
368,368,368,-0.0,M,-2147483648,2010-06-11,Macquarie,12 month,3,neutral,29.0
369,369,369,-0.0,M,-2147483648,2010-06-01,KeyBanc Capital Markets,12 month,5,buy,35.0
370,370,370,-0.0,M,-2147483648,2010-05-25,Baird,12 month,5,outperform,34.0
371,371,371,-0.0,M,-2147483648,2010-05-24,J.P. Morgan,6 month,5,overweight,34.0
372,372,372,-0.0,M,-2147483648,2010-05-19,Barclays,Not Provided,3,equalwt/neutral,27.0
373,373,373,-0.0,M,-2147483648,2010-04-22,Goldman Sachs,12 month,5,Buy/Neutral,31.0
374,374,374,-0.0,M,-2147483648,2010-04-22,Credit Suisse,Not Provided,5,outperform,34.0
375,375,375,-0.0,M,-2147483648,2010-04-22,Longbow Research,Not Provided,5,buy,34.0
376,376,376,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
377,377,377,-0.0,M,-2147483648,2010-07-30,J.P. Morgan,18 month,5,overweight,35.0
378,378,378,-0.0,M,-2147483648,2010-07-30,Baird,12 month,5,outperform,34.0
379,379,379,-0.0,M,-2147483648,2010-07-29,KeyBanc Capital Markets,12 month,5,buy,35.0
380,380,380,-0.0,M,-2147483648,2010-07-26,Barclays,Not Provided,3,equalwt/neutral,32.0
381,381,381,-0.0,D,-2147483648,2010-07-22,Goldman Sachs,12 month,3,neutral/neutral,31.0
382,382,382,-0.0,M,-2147483648,2010-07-13,Macquarie,12 month,3,neutral,29.0
383,383,383,-0.0,M,-2147483648,2010-04-22,Credit Suisse,Not Provided,5,outperform,34.0
384,384,384,-0.0,M,-2147483648,2010-04-22,Longbow Research,Not Provided,5,buy,34.0
385,385,385,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
386,386,386,-0.0,D,-2147483648,2010-08-18,J.P. Morgan,18 month,3,neutral,33.0
387,387,387,-0.0,M,-2147483648,2010-08-18,Macquarie,12 month,3,neutral,33.25
388,388,388,-0.0,M,-2147483648,2010-08-17,Credit Suisse,Not Provided,-2147483648,restricted,-0.0
389,389,389,-0.0,D,-2147483648,2010-08-17,Baird,12 month,3,neutral,33.0
390,390,390,-0.0,D,-2147483648,2010-08-17,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
391,391,391,-0.0,M,-2147483648,2010-08-17,Barclays,Not Provided,3,equalwt/neutral,33.0
392,392,392,-0.0,D,-2147483648,2010-07-22,Goldman Sachs,12 month,3,neutral/neutral,31.0
393,393,393,-0.0,M,-2147483648,2010-04-22,Longbow Research,Not Provided,5,buy,34.0
394,394,394,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
395,395,395,-0.0,M,-2147483648,2010-09-03,Baird,12 month,3,neutral,33.0
396,396,396,-0.0,M,-2147483648,2010-08-18,Macquarie,12 month,3,neutral,33.25
397,397,397,-0.0,M,-2147483648,2010-08-17,Credit Suisse,Not Provided,-2147483648,restricted,-0.0
398,398,398,-0.0,D,-2147483648,2010-08-17,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
399,399,399,-0.0,M,-2147483648,2010-08-17,Barclays,Not Provided,3,equalwt/neutral,33.0
400,400,400,-0.0,D,-2147483648,2010-07-22,Goldman Sachs,12 month,3,neutral/neutral,31.0
401,401,401,-0.0,M,-2147483648,2010-04-22,Longbow Research,Not Provided,5,buy,34.0
402,402,402,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
403,403,403,-0.0,M,-2147483648,2010-11-01,Goldman Sachs,12 month,3,neutral/neutral,33.0
404,404,404,-0.0,M,-2147483648,2010-11-01,Baird,12 month,3,neutral,33.0
405,405,405,-0.0,M,-2147483648,2010-10-18,Macquarie,12 month,3,neutral,33.25
406,406,406,-0.0,M,-2147483648,2010-10-12,KeyBanc Capital Markets,Not Provided,3,hold,-0.0
407,407,407,-0.0,M,-2147483648,2010-08-17,Credit Suisse,Not Provided,-2147483648,restricted,-0.0
408,408,408,-0.0,M,-2147483648,2010-08-17,Barclays,Not Provided,3,equalwt/neutral,33.0
409,409,409,-0.0,D,-2147483648,2010-01-05,EVA Dimensions,Not Provided,3,hold,-0.0
