Date,Q_std
2010-11-12,0.10536471980775196
2010-11-15,0.11396835784462019
2010-11-16,0.11389525799498633
2010-11-17,0.11117992399679107
2010-11-18,0.10969829828321062
2010-11-19,0.10765187015870606
2010-11-22,0.1024137262189541
2010-11-23,0.10856702097700392
2010-11-24,0.1068504229840233
2010-11-26,0.11089428337771143
2010-11-29,0.10532673395979683
2010-11-30,0.1143205885558946
2010-12-01,0.11129807688332059
2010-12-02,0.10656024877255603
2010-12-03,0.10583194744052991
2010-12-06,0.10682143080278776
2010-12-07,0.09992326090569675
2010-12-08,0.09796497655403794
2010-12-09,0.07796095157048061
2010-12-10,0.07344182805359134
2010-12-13,0.08811047299157632
2010-12-14,0.0908500555019316
2010-12-15,0.0930454987835743
2010-12-16,0.08831400259923035
2010-12-17,0.09293230502464216
