Date,Firm Name,Period,Rating,Recommendation,Target Price
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2008-11-06,Barclays,Not Provided,3,equalwt/negative,7.95
2008-07-17,Pali International,Not Provided,5,buy,23.84
2009-01-26,Soleil Securities,Not Provided,3,hold,8.83
2009-01-23,Barclays,Not Provided,3,equalwt/negative,7.06
2009-01-15,Bernstein,Not Provided,3,market perform,7.95
2009-01-07,Pali International,Not Provided,5,buy,13.24
2008-12-22,BMO Capital Markets,Not Provided,5,outperform,13.24
2008-11-26,Goldman Sachs,6 month,3,neutral/neutral,6.62
2008-11-12,Argus Research Corp,Not Provided,3,hold,-0.0
2008-11-06,"Miller Tabak + Co., LLC",Not Provided,5,buy,13.24
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-02-06,Goldman Sachs,6 month,3,neutral/neutral,6.18
2009-02-06,Bernstein,Not Provided,3,market perform,7.5
2009-02-06,"Miller Tabak + Co., LLC",12 month,5,buy,7.95
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2009-02-05,Soleil Securities,Not Provided,3,hold,8.83
2009-01-23,Barclays,Not Provided,3,equalwt/negative,7.06
2009-01-07,Pali International,Not Provided,5,buy,13.24
2008-12-22,BMO Capital Markets,Not Provided,5,outperform,13.24
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-03-29,Soleil Securities,12 month,5,buy,9.71
2009-03-23,Bernstein,Not Provided,3,market perform,7.5
2009-03-17,Pali International,Not Provided,1,sell,4.86
2009-03-11,"Miller Tabak + Co., LLC",Not Provided,5,buy,15.01
2009-02-06,Goldman Sachs,6 month,3,neutral/neutral,6.18
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2009-01-23,Barclays,Not Provided,3,equalwt/negative,7.06
2008-12-22,BMO Capital Markets,Not Provided,5,outperform,13.24
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-04-22,Bernstein,12 month,3,market perform,6.62
2009-04-21,Soleil Securities,12 month,5,buy,9.71
2009-04-09,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-03-17,Pali International,Not Provided,1,sell,4.86
2009-03-11,"Miller Tabak + Co., LLC",Not Provided,5,buy,15.01
2009-02-06,Goldman Sachs,6 month,3,neutral/neutral,6.18
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2009-01-23,Barclays,Not Provided,3,equalwt/negative,7.06
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-05-29,Bernstein,12 month,3,market perform,8.83
2009-05-18,Soleil Securities,12 month,5,buy,12.36
2009-05-15,Barclays,Not Provided,3,equalwt/neutral,10.59
2009-05-07,Goldman Sachs,6 month,3,neutral/neutral,8.39
2009-05-07,"Miller Tabak + Co., LLC",Not Provided,5,buy,15.01
2009-04-09,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-03-17,Pali International,Not Provided,1,sell,4.86
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-06-26,Bernstein,Not Provided,3,market perform,10.59
2009-06-22,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-06-10,Soleil Securities,12 month,5,buy,12.36
2009-05-15,Barclays,Not Provided,3,equalwt/neutral,10.59
2009-05-07,Goldman Sachs,6 month,3,neutral/neutral,8.39
2009-05-07,"Miller Tabak + Co., LLC",Not Provided,5,buy,15.01
2009-03-17,Pali International,Not Provided,1,sell,4.86
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-07-21,Bernstein,12 month,3,market perform,8.83
2009-07-14,Soleil Securities,12 month,5,buy,12.36
2009-06-22,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-05-15,Barclays,Not Provided,3,equalwt/neutral,10.59
2009-05-07,Goldman Sachs,6 month,3,neutral/neutral,8.39
2009-05-07,"Miller Tabak + Co., LLC",Not Provided,5,buy,15.01
2009-03-17,Pali International,Not Provided,1,sell,4.86
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-08-21,Bernstein,12 month,3,market perform,10.15
2009-08-20,Soleil Securities,12 month,5,buy,12.36
2009-08-06,"Miller Tabak + Co., LLC",12 month,3,neutral,10.59
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-05-15,Barclays,Not Provided,3,equalwt/neutral,10.59
2009-05-07,Goldman Sachs,6 month,3,neutral/neutral,8.39
2009-03-17,Pali International,Not Provided,1,sell,4.86
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-10-01,Bernstein,12 month,3,market perform,10.59
2009-09-10,Goldman Sachs,6 month,3,neutral/attractive,10.15
2009-08-20,Soleil Securities,12 month,5,buy,12.36
2009-08-06,"Miller Tabak + Co., LLC",12 month,3,neutral,10.59
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-05-15,Barclays,Not Provided,3,equalwt/neutral,10.59
2009-03-17,Pali International,Not Provided,1,sell,4.86
2009-02-06,Natixis Securities Americas LLC,12 month,5,buy,12.36
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-10-30,Bernstein,Not Provided,3,market perform,11.48
2009-09-10,Goldman Sachs,6 month,3,neutral/attractive,10.15
2009-08-06,"Miller Tabak + Co., LLC",12 month,3,neutral,10.59
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-05-15,Barclays,Not Provided,3,equalwt/neutral,10.59
2009-03-17,Pali International,Not Provided,1,sell,4.86
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-11-23,Bernstein,12 month,3,market perform,11.48
2009-11-05,Barclays,Not Provided,3,equalwt/neutral,12.36
2009-09-10,Goldman Sachs,6 month,3,neutral/attractive,10.15
2009-08-06,"Miller Tabak + Co., LLC",12 month,3,neutral,10.59
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2009-03-17,Pali International,Not Provided,1,sell,4.86
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2009-12-17,Pali International,Not Provided,3,neutral,-0.0
2009-12-11,Bernstein,12 month,3,market perform,11.48
2009-11-05,Barclays,Not Provided,3,equalwt/neutral,12.36
2009-09-10,Goldman Sachs,6 month,3,neutral/attractive,10.15
