Date,Firm Name,Period,Rating,Recommendation,Target Price
2007-01-12,J.P. Morgan,Not Provided,5,overweight,24.3
2007-01-03,Barclays,Not Provided,3,equalwt/positive,20.14
2006-11-20,EVA Dimensions,Not Provided,5,strong buy,-0.0
2006-10-27,Independent Research GmbH,Not Provided,4,accumulate,19.67
2006-10-26,Morgan Stanley,Not Provided,5,Overwt/Attractive,24.3
2006-10-26,A.G. Edwards & Sons Inc,Not Provided,5,buy,21.99
2006-06-22,S&P Capital IQ,Not Provided,5,strong buy,19.67
2006-06-07,Davenport & Co,12 month,5,buy,21.99
2005-05-31,Edward Jones,Not Provided,3,hold,-0.0
2007-02-22,EVA Dimensions,Not Provided,5,strong buy,-0.0
2007-02-21,Credit Suisse,Not Provided,5,outperform,21.99
2007-02-21,UBS,Not Provided,3,neutral 2,21.76
2007-02-01,Jyske Bank,Not Provided,4,accumulate,22.45
2007-02-01,Goldman Sachs,12 month,5,Buy/Neutral,23.38
2007-01-22,Argus Research Corp,Not Provided,3,hold,-0.0
2007-01-12,J.P. Morgan,Not Provided,5,overweight,24.3
2007-01-03,Barclays,Not Provided,3,equalwt/positive,20.14
2006-10-27,Independent Research GmbH,Not Provided,4,accumulate,19.67
2006-10-26,Morgan Stanley,Not Provided,5,Overwt/Attractive,24.3
2006-10-26,A.G. Edwards & Sons Inc,Not Provided,5,buy,21.99
2006-06-22,S&P Capital IQ,Not Provided,5,strong buy,19.67
2006-06-07,Davenport & Co,12 month,5,buy,21.99
2005-05-31,Edward Jones,Not Provided,3,hold,-0.0
2007-03-26,J.P. Morgan,Not Provided,5,overweight,24.3
2007-03-22,Credit Suisse,Not Provided,5,outperform,21.99
2007-03-16,EVA Dimensions,Not Provided,5,buy,-0.0
2007-03-13,UBS,Not Provided,3,neutral 2,21.41
2007-02-01,Jyske Bank,Not Provided,4,accumulate,22.45
2007-02-01,Goldman Sachs,12 month,5,Buy/Neutral,23.38
2007-01-22,Argus Research Corp,Not Provided,3,hold,-0.0
2007-01-03,Barclays,Not Provided,3,equalwt/positive,20.14
2006-10-27,Independent Research GmbH,Not Provided,4,accumulate,19.67
2006-10-26,Morgan Stanley,Not Provided,5,Overwt/Attractive,24.3
2006-10-26,A.G. Edwards & Sons Inc,Not Provided,5,buy,21.99
2006-06-22,S&P Capital IQ,Not Provided,5,strong buy,19.67
2006-06-07,Davenport & Co,12 month,5,buy,21.99
2005-05-31,Edward Jones,Not Provided,3,hold,-0.0
2007-04-23,Credit Suisse,12 month,5,outperform,23.13
2007-04-23,S&P Capital IQ,Not Provided,5,strong buy,26.21
2007-04-20,J.P. Morgan,Not Provided,5,overweight,25.6
2007-04-19,Morgan Stanley,Not Provided,5,Overwt/Attractive,26.83
2007-04-12,Jyske Bank,Not Provided,4,accumulate,24.06
2007-04-03,UBS,Not Provided,3,neutral,21.28
2007-04-03,Independent Research GmbH,Not Provided,4,accumulate,-0.0
2007-04-03,Barclays,Not Provided,3,equalwt/positive,24.36
2007-04-02,Goldman Sachs,12 month,5,Buy/Neutral,23.44
2007-04-02,A.G. Edwards & Sons Inc,Not Provided,5,buy,22.51
2007-01-22,Argus Research Corp,Not Provided,3,hold,-0.0
2006-06-07,Davenport & Co,12 month,5,buy,21.99
2005-05-31,Edward Jones,Not Provided,3,hold,-0.0
2007-05-18,EVA Dimensions,Not Provided,5,buy,-0.0
2007-05-16,A.G. Edwards & Sons Inc,Not Provided,5,buy,23.75
2007-05-15,Davenport & Co,12 month,5,buy,23.13
2007-05-04,Goldman Sachs,12 month,5,Buy/Neutral,24.36
2007-05-02,Argus Research Corp,Not Provided,3,hold,-0.0
2007-04-23,Credit Suisse,12 month,5,outperform,23.13
2007-04-23,S&P Capital IQ,Not Provided,5,strong buy,26.21
2007-04-20,J.P. Morgan,Not Provided,5,overweight,25.6
2007-04-19,Morgan Stanley,Not Provided,5,Overwt/Attractive,26.83
2007-04-12,Jyske Bank,Not Provided,4,accumulate,24.06
2007-04-03,UBS,Not Provided,3,neutral,21.28
2007-04-03,Independent Research GmbH,Not Provided,4,accumulate,-0.0
2007-04-03,Barclays,Not Provided,3,equalwt/positive,24.36
2005-05-31,Edward Jones,Not Provided,3,hold,-0.0
2007-06-27,Credit Suisse,12 month,5,outperform,24.36
2007-06-26,A.G. Edwards & Sons Inc,Not Provided,5,buy,23.75
2007-06-11,J.P. Morgan,Not Provided,5,overweight,25.6
