Date,Firm Name,Period,Rating,Recommendation,Target Price
2007-02-09,Stifel,Not Provided,3,hold,-0.0
2007-02-07,Stanford Group,12 month,5,buy,24.25
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-09-15,J.P. Morgan,Not Provided,3,neutral,-0.0
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-05-30,Raymond James,Not Provided,3,market perform,-0.0
2007-05-29,Credit Suisse,12 month,3,neutral,24.25
2007-05-29,EVA Dimensions,Not Provided,3,hold,-0.0
2007-05-10,J.P. Morgan,Not Provided,3,neutral,-0.0
2007-05-10,Stifel,Not Provided,3,hold,-0.0
2007-05-10,Prudential Equity Group Inc,Not Provided,3,neutral weight,22.64
2007-05-10,Soleil Securities,Not Provided,3,hold,24.25
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2007-02-07,Stanford Group,12 month,5,buy,24.25
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-07-24,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-06-14,UBS,12 month,3,neutral,25.87
2007-06-04,CIBC World Markets,Not Provided,3,sector perform,-0.0
2007-05-30,Raymond James,Not Provided,3,market perform,-0.0
2007-05-29,Credit Suisse,12 month,3,neutral,24.25
2007-05-29,EVA Dimensions,Not Provided,3,hold,-0.0
2007-05-10,J.P. Morgan,Not Provided,3,neutral,-0.0
2007-05-10,Stifel,Not Provided,3,hold,-0.0
2007-05-10,Soleil Securities,Not Provided,3,hold,24.25
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2007-02-07,Stanford Group,12 month,5,buy,24.25
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-07-20,J.P. Morgan,Not Provided,3,neutral,-0.0
