Date,Firm Name,Period,Rating,Recommendation,Target Price
2007-06-08,Panmure Gordon & Co Limited,Not Provided,1,sell,4.13
2007-04-20,Societe Generale,Not Provided,3,hold,5.05
2007-03-27,S&P Capital IQ,Not Provided,1,strong sell,4.05
2007-03-26,Morgan Stanley,Not Provided,5,Overwt/Cautious,5.32
2007-10-01,Morgan Stanley,Not Provided,5,Overwt/Cautious,4.29
2007-09-10,Numis,Not Provided,-2147483648,Under Review,-0.0
2007-09-07,Societe Generale,Not Provided,3,hold,4.1
2007-09-07,Lehman Brothers,Not Provided,1,underwt/neutral,3.69
2007-09-06,Panmure Gordon & Co Limited,Not Provided,1,sell,3.64
2007-09-05,S&P Capital IQ,Not Provided,1,sell,3.44
2007-08-09,Credit Suisse,Not Provided,3,neutral,4.46
2007-08-09,Credit Suisse,Not Provided,3,neutral,4.46
2007-08-09,Seymour Pierce,Not Provided,3,hold,-0.0
2007-07-20,Dresdner Kleinwort,Not Provided,3,hold,4.11
2007-06-22,Goldman Sachs,12 month,1,Sell/Cautious,4.0
2007-06-12,UBS,Not Provided,5,buy,5.13
2007-10-04,Lehman Brothers,Not Provided,1,underwt/neutral,3.39
2007-10-01,Morgan Stanley,Not Provided,5,Overwt/Cautious,4.29
2007-09-10,Numis,Not Provided,-2147483648,Under Review,-0.0
2007-09-07,Societe Generale,Not Provided,3,hold,4.1
2007-09-06,Panmure Gordon & Co Limited,Not Provided,1,sell,3.64
2007-09-05,S&P Capital IQ,Not Provided,1,sell,3.44
2007-08-09,Credit Suisse,Not Provided,3,neutral,4.46
2007-07-20,Dresdner Kleinwort,Not Provided,3,hold,4.11
2007-06-12,UBS,Not Provided,5,buy,5.13
2007-11-29,S&P Capital IQ,Not Provided,1,strong sell,2.06
2007-11-28,Investec,Not Provided,3,hold,2.9
2007-11-28,Lehman Brothers,12 month,1,underwt/neutral,2.4
2007-11-28,Goldman Sachs,12 month,1,Sell/Cautious,2.36
2007-11-28,J.P. Morgan,12 month,1,underweight,2.57
2007-11-28,Panmure Gordon & Co Limited,Not Provided,1,sell,2.49
2007-11-27,Morgan Stanley,12 month,5,Overwt/In-Line,3.92
2007-11-12,Credit Suisse,Not Provided,3,neutral,3.1
2007-11-09,Societe Generale,Not Provided,3,hold,3.64
2007-11-08,Dresdner Kleinwort,Not Provided,3,hold,3.71
2007-09-10,Numis,Not Provided,-2147483648,Under Review,-0.0
2007-06-12,UBS,Not Provided,5,buy,5.13
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2007-12-13,Seymour Pierce,Not Provided,1,underperform,-0.0
2007-12-05,Societe Generale,Not Provided,3,hold,2.84
2007-12-03,UBS,12 month,3,neutral,5.56
2007-12-02,Credit Suisse,Not Provided,3,neutral,3.09
2007-11-29,S&P Capital IQ,Not Provided,1,strong sell,2.06
2007-11-28,Investec,Not Provided,3,hold,2.9
2007-11-28,Lehman Brothers,12 month,1,underwt/neutral,2.4
2007-11-28,Goldman Sachs,12 month,1,Sell/Cautious,2.36
2007-11-28,J.P. Morgan,12 month,1,underweight,2.57
2007-11-28,Panmure Gordon & Co Limited,Not Provided,1,sell,2.49
2007-11-27,Morgan Stanley,12 month,5,Overwt/In-Line,3.92
