Date,strategy_returns,margin,benchmark_returns
2010-07-16,-1107.9240000000013,245277.44830000002,-6171.244576659996
2010-07-19,-170.31909999999888,247246.00680000003,1323.8300270087911
2010-07-20,246.57499999999806,251475.65879999998,2485.884654853242
2010-07-21,-126.74529999999842,248979.9387,-2913.1489684276057
2010-07-22,1058.7015999999962,253608.73849999998,5005.010936884299
2010-07-23,150.68589999999622,256010.9215,1943.1219532134107
2010-07-26,-892.7581999999942,259501.57030000002,2334.439848053642
2010-07-27,810.9064999999962,257006.9184,-20.090222740247647
2010-07-28,527.7553999999997,255365.64459999997,-1446.6257097343182
2010-07-29,435.7951000000056,253245.27630000003,-1092.0177157867524
2010-07-30,-297.8022999999986,251701.96019999997,-40.64312719017187
2010-08-02,-1.6189000000012754,255900.59590000001,5060.987095096776
2010-08-03,498.53190000000086,254026.6017,-1073.3267421128855
